i,j,x_m,y_m,temperature_K
72,2,0.453125,0.025000,300.311233
73,2,0.459375,0.025000,300.268727
74,2,0.465625,0.025000,300.226655
75,2,0.471875,0.025000,300.184949
76,2,0.478125,0.025000,300.143541
77,2,0.484375,0.025000,300.102364
78,2,0.490625,0.025000,300.061353
79,2,0.496875,0.025000,300.020440
0,3,0.003125,0.035000,356.527320
1,3,0.009375,0.035000,349.838730
2,3,0.015625,0.035000,343.766006
3,3,0.021875,0.035000,338.461338
4,3,0.028125,0.035000,333.930314
5,3,0.034375,0.035000,330.102047
6,3,0.040625,0.035000,326.877651
7,3,0.046875,0.035000,324.156776
8,3,0.053125,0.035000,321.849436
9,3,0.059375,0.035000,319.879714
10,3,0.065625,0.035000,318.185566
11,3,0.071875,0.035000,316.717095
12,3,0.078125,0.035000,315.434448
13,3,0.084375,0.035000,314.305827
14,3,0.090625,0.035000,313.305798
15,3,0.096875,0.035000,312.413928
16,3,0.103125,0.035000,311.613703
17,3,0.109375,0.035000,310.891689
18,3,0.115625,0.035000,310.236884
19,3,0.121875,0.035000,309.640216
20,3,0.128125,0.035000,309.094150
21,3,0.134375,0.035000,308.592390
22,3,0.140625,0.035000,308.129639
23,3,0.146875,0.035000,307.701412
24,3,0.153125,0.035000,307.303894
25,3,0.159375,0.035000,306.933816
26,3,0.165625,0.035000,306.588364
27,3,0.171875,0.035000,306.265104
28,3,0.178125,0.035000,305.961920
29,3,0.184375,0.035000,305.676963
30,3,0.190625,0.035000,305.408611
31,3,0.196875,0.035000,305.155435
32,3,0.203125,0.035000,304.916170
33,3,0.209375,0.035000,304.689691
34,3,0.215625,0.035000,304.474998
35,3,0.221875,0.035000,304.271193
36,3,0.228125,0.035000,304.077470
37,3,0.234375,0.035000,303.893102
38,3,0.240625,0.035000,303.717434
39,3,0.246875,0.035000,303.549869
40,3,0.253125,0.035000,303.389863
41,3,0.259375,0.035000,303.236923
42,3,0.265625,0.035000,303.090594
43,3,0.271875,0.035000,302.950459
44,3,0.278125,0.035000,302.816134
45,3,0.284375,0.035000,302.687264
46,3,0.290625,0.035000,302.563522
47,3,0.296875,0.035000,302.444602
48,3,0.303125,0.035000,302.330220
49,3,0.309375,0.035000,302.220111
50,3,0.315625,0.035000,302.114028
51,3,0.321875,0.035000,302.011736
52,3,0.328125,0.035000,301.913017
53,3,0.334375,0.035000,301.817666
54,3,0.340625,0.035000,301.725488
55,3,0.346875,0.035000,301.636298
56,3,0.353125,0.035000,301.549921
57,3,0.359375,0.035000,301.466191
58,3,0.365625,0.035000,301.384949
59,3,0.371875,0.035000,301.306045
60,3,0.378125,0.035000,301.229334
61,3,0.384375,0.035000,301.154676
62,3,0.390625,0.035000,301.081939
63,3,0.396875,0.035000,301.010994
64,3,0.403125,0.035000,300.941718
65,3,0.409375,0.035000,300.873990
66,3,0.415625,0.035000,300.807695
67,3,0.421875,0.035000,300.742720
68,3,0.428125,0.035000,300.678957
69,3,0.434375,0.035000,300.616298
70,3,0.440625,0.035000,300.554640
71,3,0.446875,0.035000,300.493880
72,3,0.453125,0.035000,300.433919
73,3,0.459375,0.035000,300.374660
74,3,0.465625,0.035000,300.316004
75,3,0.471875,0.035000,300.257858
76,3,0.478125,0.035000,300.200128
77,3,0.484375,0.035000,300.142719
78,3,0.490625,0.035000,300.085540
79,3,0.496875,0.035000,300.028498
0,4,0.003125,0.045000,357.295805
1,4,0.009375,0.045000,351.999847
2,4,0.015625,0.045000,347.005490
3,4,0.021875,0.045000,342.431653
4,4,0.028125,0.045000,338.328923
5,4,0.034375,0.045000,334.697720
6,4,0.040625,0.045000,331.508205
7,4,0.046875,0.045000,328.715875
8,4,0.053125,0.045000,326.271791
9,4,0.059375,0.045000,324.128441
10,4,0.065625,0.045000,322.242613
11,4,0.071875,0.045000,320.576461
12,4,0.078125,0.045000,319.097568
13,4,0.084375,0.045000,317.778527
14,4,0.090625,0.045000,316.596329
15,4,0.096875,0.045000,315.531714
16,4,0.103125,0.045000,314.568569
17,4,0.109375,0.045000,313.693392
18,4,0.115625,0.045000,312.894842
19,4,0.121875,0.045000,312.163358
20,4,0.128125,0.045000,311.490852
21,4,0.134375,0.045000,310.870451
22,4,0.140625,0.045000,310.296289
23,4,0.146875,0.045000,309.763337
24,4,0.153125,0.045000,309.267268
25,4,0.159375,0.045000,308.804338
26,4,0.165625,0.045000,308.371297
27,4,0.171875,0.045000,307.965308
28,4,0.178125,0.045000,307.583892
29,4,0.184375,0.045000,307.224864
30,4,0.190625,0.045000,306.886299
31,4,0.196875,0.045000,306.566490
32,4,0.203125,0.045000,306.263921
33,4,0.209375,0.045000,305.977238
34,4,0.215625,0.045000,305.705229
35,4,0.221875,0.045000,305.446804
36,4,0.228125,0.045000,305.200982
37,4,0.234375,0.045000,304.966875
38,4,0.240625,0.045000,304.743677
39,4,0.246875,0.045000,304.530657
40,4,0.253125,0.045000,304.327144
41,4,0.259375,0.045000,304.132526
42,4,0.265625,0.045000,303.946243
43,4,0.271875,0.045000,303.767776
44,4,0.278125,0.045000,303.596647
45,4,0.284375,0.045000,303.432416
46,4,0.290625,0.045000,303.274673
47,4,0.296875,0.045000,303.123035
48,4,0.303125,0.045000,302.977147
49,4,0.309375,0.045000,302.836677
50,4,0.315625,0.045000,302.701313
51,4,0.321875,0.045000,302.570763
52,4,0.328125,0.045000,302.444751
53,4,0.334375,0.045000,302.323018
54,4,0.340625,0.045000,302.205317
55,4,0.346875,0.045000,302.091416
56,4,0.353125,0.045000,301.981094
57,4,0.359375,0.045000,301.874141
58,4,0.365625,0.045000,301.770355
59,4,0.371875,0.045000,301.669545
60,4,0.378125,0.045000,301.571528
61,4,0.384375,0.045000,301.476128
62,4,0.390625,0.045000,301.383174
63,4,0.396875,0.045000,301.292505
64,4,0.403125,0.045000,301.203962
65,4,0.409375,0.045000,301.117394
66,4,0.415625,0.045000,301.032653
67,4,0.421875,0.045000,300.949596
68,4,0.428125,0.045000,300.868084
69,4,0.434375,0.045000,300.787980
70,4,0.440625,0.045000,300.709153
71,4,0.446875,0.045000,300.631473
72,4,0.453125,0.045000,300.554812
73,4,0.459375,0.045000,300.479045
74,4,0.465625,0.045000,300.404050
75,4,0.471875,0.045000,300.329705
76,4,0.478125,0.045000,300.255890
77,4,0.484375,0.045000,300.182486
78,4,0.490625,0.045000,300.109374
79,4,0.496875,0.045000,300.036439
0,5,0.003125,0.055000,357.776460
1,5,0.009375,0.055000,353.388865
2,5,0.015625,0.055000,349.168444
3,5,0.021875,0.055000,345.195934
4,5,0.028125,0.055000,341.520426
5,5,0.034375,0.055000,338.162669
6,5,0.040625,0.055000,335.121965
7,5,0.046875,0.055000,332.383463
8,5,0.053125,0.055000,329.924269
9,5,0.059375,0.055000,327.717912
10,5,0.065625,0.055000,325.737292
11,5,0.071875,0.055000,323.956444
12,5,0.078125,0.055000,322.351465
13,5,0.084375,0.055000,320.900910
14,5,0.090625,0.055000,319.585846
15,5,0.096875,0.055000,318.389739
16,5,0.103125,0.055000,317.298238
17,5,0.109375,0.055000,316.298933
18,5,0.115625,0.055000,315.381109
19,5,0.121875,0.055000,314.535518
20,5,0.128125,0.055000,313.754168
21,5,0.134375,0.055000,313.030142
22,5,0.140625,0.055000,312.357440
23,5,0.146875,0.055000,311.730845
24,5,0.153125,0.055000,311.145807
25,5,0.159375,0.055000,310.598347
26,5,0.165625,0.055000,310.084973
27,5,0.171875,0.055000,309.602612
28,5,0.178125,0.055000,309.148549
29,5,0.184375,0.055000,308.720380
30,5,0.190625,0.055000,308.315970
31,5,0.196875,0.055000,307.933413
32,5,0.203125,0.055000,307.571007
33,5,0.209375,0.055000,307.227222
34,5,0.215625,0.055000,306.900685
35,5,0.221875,0.055000,306.590154
36,5,0.228125,0.055000,306.294506
37,5,0.234375,0.055000,306.012720
38,5,0.240625,0.055000,305.743870
39,5,0.246875,0.055000,305.487105
40,5,0.253125,0.055000,305.241652
41,5,0.259375,0.055000,305.006796
42,5,0.265625,0.055000,304.781883
43,5,0.271875,0.055000,304.566306
44,5,0.278125,0.055000,304.359505
45,5,0.284375,0.055000,304.160962
46,5,0.290625,0.055000,303.970193
47,5,0.296875,0.055000,303.786747
48,5,0.303125,0.055000,303.610205
49,5,0.309375,0.055000,303.440171
50,5,0.315625,0.055000,303.276276
51,5,0.321875,0.055000,303.118173
52,5,0.328125,0.055000,302.965533
53,5,0.334375,0.055000,302.818046
54,5,0.340625,0.055000,302.675419
55,5,0.346875,0.055000,302.537374
56,5,0.353125,0.055000,302.403645
57,5,0.359375,0.055000,302.273982
58,5,0.365625,0.055000,302.148143
59,5,0.371875,0.055000,302.025897
60,5,0.378125,0.055000,301.907025
61,5,0.384375,0.055000,301.791315
62,5,0.390625,0.055000,301.678563
63,5,0.396875,0.055000,301.568572
64,5,0.403125,0.055000,301.461152
65,5,0.409375,0.055000,301.356121
66,5,0.415625,0.055000,301.253301
67,5,0.421875,0.055000,301.152518
68,5,0.428125,0.055000,301.053604
69,5,0.434375,0.055000,300.956395
70,5,0.440625,0.055000,300.860731
71,5,0.446875,0.055000,300.766456
72,5,0.453125,0.055000,300.673415
73,5,0.459375,0.055000,300.581457
74,5,0.465625,0.055000,300.490432
75,5,0.471875,0.055000,300.400195
76,5,0.478125,0.055000,300.310600
77,5,0.484375,0.055000,300.221502
78,5,0.490625,0.055000,300.132760
79,5,0.496875,0.055000,300.044230
0,6,0.003125,0.065000,358.104835
1,6,0.009375,0.065000,354.349917
2,6,0.015625,0.065000,350.696745
3,6,0.021875,0.065000,347.199892
4,6,0.028125,0.065000,343.898487
5,6,0.034375,0.065000,340.815963
6,6,0.040625,0.065000,337.962088
7,6,0.046875,0.065000,335.336024
8,6,0.053125,0.065000,332.929485
9,6,0.059375,0.065000,330.729497
10,6,0.065625,0.065000,328.720558
11,6,0.071875,0.065000,326.886200
12,6,0.078125,0.065000,325.210040
13,6,0.084375,0.065000,323.676434
14,6,0.090625,0.065000,322.270837
15,6,0.096875,0.065000,320.979975
16,6,0.103125,0.065000,319.791886
17,6,0.109375,0.065000,318.695881
18,6,0.115625,0.065000,317.682462
19,6,0.121875,0.065000,316.743223
20,6,0.128125,0.065000,315.870735
21,6,0.134375,0.065000,315.058443
22,6,0.140625,0.065000,314.300558
23,6,0.146875,0.065000,313.591967
24,6,0.153125,0.065000,312.928149
25,6,0.159375,0.065000,312.305098
26,6,0.165625,0.065000,311.719259
27,6,0.171875,0.065000,311.167472
28,6,0.178125,0.065000,310.646917
29,6,0.184375,0.065000,310.155077
30,6,0.190625,0.065000,309.689698
31,6,0.196875,0.065000,309.248753
32,6,0.203125,0.065000,308.830420
33,6,0.209375,0.065000,308.433054
34,6,0.215625,0.065000,308.055166
35,6,0.221875,0.065000,307.695404
36,6,0.228125,0.065000,307.352541
37,6,0.234375,0.065000,307.025455
38,6,0.240625,0.065000,306.713121
39,6,0.246875,0.065000,306.414601
40,6,0.253125,0.065000,306.129031
41,6,0.259375,0.065000,305.855616
42,6,0.265625,0.065000,305.593622
43,6,0.271875,0.065000,305.342369
44,6,0.278125,0.065000,305.101227
45,6,0.284375,0.065000,304.869608
